cnpj;matriz;data_abertura;n_razao_social;cd_natureza_juridica;de_natureza_juridica;nm_logradouro;nu_logradouro;cep;bairro;municipio;uf;situacao;classif_natureza_juridica;vl_latitude;vl_longitude;vl_total_veiculos_antt;vl_total_veiculos_leves;vl_total_veiculos_pesados;simples;qt_filial;simei;de_saude_tributaria;de_nivel_atividade
05610297000120;MATRIZ;2003-04-24;RECANTO DA MODA CALCADOS E CONFECCOES LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA ESTADO;623;75074590;RECANTO DO SOL;ANAPOLIS;GO;BAIXADA;PRIVADO;-16,2806113;-48,9319839;S/N;S/N;S/N;NAO;S/N;NAO;S/N;INATIVA
15044857000180;MATRIZ;2012-02-14;MARIA GILVANIA DE AQUINO MEI;2135;EMPRESARIO INDIVIDUAL;RUA ANTONIO CHICALHONE;218;13290000;JARDIM LAGO AZUL SANTO ANTONIO;LOUVEIRA;SP;ATIVA;PRIVADO;-23,0864185;-46,9770708;S/N;S/N;S/N;SIM;S/N;SIM;AMARELO;MEDIA
15028623000140;MATRIZ;2012-02-09;DEBORA PINHEIRO DA SILVA MEI;2135;EMPRESARIO INDIVIDUAL;RUA AMANARU;152;21031590;RAMOS;RIO DE JANEIRO;RJ;ATIVA;PRIVADO;-22,8492135;-43,2540858;S/N;S/N;S/N;SIM;S/N;SIM;AMARELO;MEDIA
07297742000170;MATRIZ;2005-02-14;MAURO ODELLI ME;2135;EMPRESARIO INDIVIDUAL;ESTRADA VARGEM GRANDE;115;89135000;VARGEM GRANDE;APIUNA;SC;ATIVA;PRIVADO;-27,0337085;-49,3872519;S/N;1;0;SIM;S/N;NAO;AZUL;BAIXA
15291845000150;MATRIZ;2012-03-29;COMERCIO FASHION BIJU LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA EXPEDITO GARCIA;104;29146200;CAMPO GRANDE;CARIACICA;ES;ATIVA;PRIVADO;-20,3433882;-40,3875092;S/N;S/N;S/N;SIM;S/N;NAO;AZUL;ALTA
15090404000190;MATRIZ;2012-02-24;CONFECCOES BG LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA HARROLD LAFFIN;208;89108000;GUARANI MIRIM;MASSARANDUBA;SC;ATIVA;PRIVADO;-26,6109126;-49,0091505;S/N;S/N;S/N;SIM;S/N;NAO;VERDE;ALTA
90400888251650;FILIAL;2010-05-28;BANCO SANTANDER BRASIL SA;2046;SOCIEDADE ANONIMA ABERTA;RUA BATISTA RAFFI;803;13068601;JARDIM APARECIDA;CAMPINAS;SP;ATIVA;PRIVADO;-22,8525901;-47,1565107;S/N;S/N;S/N;NAO;S/N;NAO;VERDE;MEDIA
12254288000100;MATRIZ;2010-07-19;CASA DO GOL LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA DOM PEDRO II;3180;30720460;CAICARAS;BELO HORIZONTE;MG;ATIVA;PRIVADO;-19,9120148;-43,9711978;S/N;S/N;S/N;NAO;S/N;NAO;LARANJA;MEDIA
04226709000160;MATRIZ;2001-01-05;COMERCIAL M&M YAMASHITA LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA DOUTOR GASTAO VIDIGAL CEAGESP;1946;05314000;VILA LEOPOLDINA;SAO PAULO;SP;ATIVA;PRIVADO;-23,5505199;-46,6333094;S/N;S/N;S/N;NAO;S/N;NAO;AZUL;MEDIA
16679748000100;MATRIZ;1973-11-01;GRUPO CIENTIFICO RAMATIS;3999;ASSOCIACAO PRIVADA;PRACA RAMATIS;161;31230000;PARQUE RIACHUELO;BELO HORIZONTE;MG;ATIVA;PRIVADO;-19,8909944;-43,9523488;S/N;S/N;S/N;NAO;10;NAO;VERDE;ALTA
07793444000170;MATRIZ;2006-01-06;KAUS & KAUS LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA ANTONIO SANGOI NETO;156;97035090;JUSCELINO KUBITSCHEK;SANTA MARIA;RS;ATIVA;PRIVADO;-29,6963563;-53,844565;S/N;S/N;S/N;NAO;S/N;NAO;AMARELO;MEDIA
03220549000180;MATRIZ;1999-06-15;ROMERIO RODRIGUES LEITE ME;2135;EMPRESARIO INDIVIDUAL;RUA DO COMERCIO;102;63190000;ARAPORANGA;SANTANA DO CARIRI;CE;ATIVA;PRIVADO;-7,1882638;-39,7376748;S/N;S/N;S/N;SIM;S/N;NAO;VERDE;ALTA
01687525000100;MATRIZ;1996-02-12;ASSOCIACAO DE PRESTACAO DE SERVICOS REAL;3999;ASSOCIACAO PRIVADA;LOCALIDADE BELA VISTA DO SUL;SN;89300000;BELA VISTA SUL;MAFRA;SC;ATIVA;PRIVADO;-26,1117326;-49,8065079;S/N;S/N;S/N;NAO;S/N;NAO;AZUL;MEDIA
11772974000100;MATRIZ;2010-04-06;G MARIA DE AMORIM ME;2135;EMPRESARIO INDIVIDUAL;RUA JOAO SABINO ANDRADE;70A;55602005;MATRIZ;VITORIA DE SANTO ANTAO;PE;ATIVA;PRIVADO;-8,1138885;-35,2915134;S/N;S/N;S/N;SIM;S/N;NAO;AZUL;ALTA
05850538000290;FILIAL;2009-06-30;TECOPY COPIADORA LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA CASA DO ATOR;275;04546004;VILA OLIMPIA;SAO PAULO;SP;ATIVA;PRIVADO;-23,6001428;-46,6763564;S/N;S/N;S/N;NAO;S/N;NAO;VERMELHO;BAIXA
86396371000150;MATRIZ;1994-03-21;LIVRARIA DA SE INDUSTRIA E COMERCIO LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA AFONSO PENA;1825;38400706;APARECIDA;UBERLANDIA;MG;ATIVA;PRIVADO;-18,908382;-48,270572;S/N;S/N;S/N;SIM;1;NAO;VERDE;ALTA
52792652000100;MATRIZ;1983-08-11;CONTINENTAL CIRCUS MOTOCICLETAS LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA LUCIANINHO MELLI;42;06080010;VILA NOVA OSASCO;OSASCO;SP;ATIVA;PRIVADO;-23,541913;-46,7788579;S/N;S/N;S/N;NAO;S/N;NAO;AMARELO;MEDIA
15818386000110;MATRIZ;2012-06-29;ELEICAO 2012 COMITE FINANCEIRO SP PARA VEREADOR PT MENDONCA;3999;ASSOCIACAO PRIVADA;RUA ANGELO PETRONINI;478;15220000;CENTRO;MENDONCA;SP;BAIXADA;PRIVADO;-21,1900316;-49,580999;S/N;S/N;S/N;NAO;S/N;NAO;S/N;INATIVA
01498181000190;MATRIZ;1996-10-01;COMERCIAL DE PNEUS WENDT LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA MAJOR ANTONIO T CARDOSO;223;97970000;CENTRO;ROQUE GONZALES;RS;ATIVA;PRIVADO;-28,1322847;-55,0223579;S/N;2;0;SIM;S/N;NAO;VERDE;ALTA
80495856000700;FILIAL;1988-03-24;RPS FOTOGRAFIAS LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA PRINCESA ISABEL;238;89211595;CENTRO;JOINVILLE;SC;ATIVA;PRIVADO;-26,2993337;-48,844535;S/N;S/N;S/N;NAO;S/N;NAO;VERMELHO;BAIXA
02186486000120;MATRIZ;1997-09-30;MOACIR LUIZ DA SILVA VARGAS ME;2135;EMPRESARIO INDIVIDUAL;ESTRADA GERAL DO MORRO AGUDO;305;94090120;ITACOLOMI;GRAVATAI;RS;ATIVA;PRIVADO;-29,8744377;-50,9984135;S/N;S/N;S/N;SIM;S/N;NAO;LARANJA;BAIXA
65070146000230;FILIAL;1997-05-20;BAR E LANCHONETE PAYSAGE LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA GAMA CERQUEIRA;323;01539010;CAMBUCI;SAO PAULO;SP;ATIVA;PRIVADO;-23,5702953;-46,6197298;S/N;S/N;S/N;NAO;S/N;NAO;AMARELO;MEDIA
02053352000130;MATRIZ;1997-08-11;AGILIS MOTOCICLE LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA POMPILHO GUIMARAES;171;36700000;FABRICA;LEOPOLDINA;MG;ATIVA;PRIVADO;-21,5368229;-42,6413579;S/N;S/N;S/N;NAO;S/N;NAO;LARANJA;MEDIA
06319255001170;FILIAL;1975-02-20;PG DOIS AGRICOLA COMERCIAL LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;LOCALIDADE VILA FATIMA;SN;89638000;INTERIOR;VARGEM;SC;ATIVA;PRIVADO;-27,4872075;-50,9728528;S/N;S/N;S/N;NAO;S/N;NAO;VERDE;ALTA
10886199000150;MATRIZ;2009-04-30;VALFRE SOCIEDADE INDIVIDUAL DE ADVOCACIA EIRELI;2313;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA SIMPLES;RUA PROFESSOR ALMEIDA COUSIN;125;29050565;ENSEADA DO SUA;VITORIA;ES;ATIVA;PRIVADO;-20,3137737;-40,2941848;S/N;S/N;S/N;SIM;S/N;NAO;VERDE;ALTA
12019359000190;MATRIZ;2010-05-25;PUNHO FORTE PRESTADORA DE SERVIOS LTDA ME;2240;SOCIEDADE SIMPLES LIMITADA;RUA MARECHAL SEREJO;133;22743380;FREGUESIA JACAREPAGUA;RIO DE JANEIRO;RJ;ATIVA;PRIVADO;-22,9249284;-43,3431213;S/N;S/N;S/N;NAO;S/N;NAO;AMARELO;MEDIA
06216178000150;MATRIZ;2004-03-31;CONSTRUTORA E PAVIMENTACAO LAGO DOURADO LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;LOCALIDADE DE LINHA PROGRESSO;SN;85892000;CENTRO;SANTA HELENA;PR;ATIVA;PRIVADO;-24,8569233;-54,3334256;S/N;S/N;S/N;NAO;S/N;NAO;AZUL;MEDIA
12459122000120;MATRIZ;2010-08-30;RICARDO JOSE DA ROCHA MEI;2135;EMPRESARIO INDIVIDUAL;RUA MIGUEL GLINKA;S/N;24716072;JARDIM CATARINA;SAO GONCALO;RJ;ATIVA;PRIVADO;-22,7853052;-43,0051048;S/N;S/N;S/N;SIM;S/N;SIM;VERDE;MEDIA
10532571000120;MATRIZ;2008-12-01;SAULO FERNANDO GATO SCRIBONI;4120;PRODUTOR RURAL PESSOA FISICA;VIA DE COSMORAMA A AMERICO DE CAMPOS;SN;15530000;ZONA RURAL;COSMORAMA;SP;ATIVA;PRIVADO;-20,4780031;-49,7779205;S/N;S/N;S/N;NAO;S/N;NAO;AMARELO;MEDIA
11163415000100;MATRIZ;2009-08-25;INSTITUTO JULIO ARA DE ASSISTENCIA MEDICA LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA JOSE BONIFACIO;180;13560160;CENTRO;SAO CARLOS;SP;ATIVA;PRIVADO;-22,0268377;-47,8934375;S/N;S/N;S/N;NAO;S/N;NAO;AZUL;ALTA
20963351002230;FILIAL;1978-08-16;DIOCESE DE ITABIRA;3220;ORGANIZACAO RELIGIOSA;RUA JOSE HILARIO;SN;35900202;VILA PIEDADE;ITABIRA;MG;ATIVA;PRIVADO;-19,6284156;-43,220858;S/N;4;0;NAO;S/N;NAO;VERDE;ALTA
55055743000150;MATRIZ;1988-03-30;CONDOMINIO ABC SHOPPING CENTER;3999;ASSOCIACAO PRIVADA;AVENIDA BARAO DE MAUA;50;09726000;CHACARA INGLESA;SAO BERNARDO DO CAMPO;SP;ATIVA;PRIVADO;-23,6911701;-46,5606889;S/N;S/N;S/N;NAO;S/N;NAO;VERMELHO;MEDIA
11199599000150;MATRIZ;2009-09-21;LUSCO FUSCO FILMES EPP LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA EUSEBIO MATOSO;690;05423000;PINHEIROS;SAO PAULO;SP;ATIVA;PRIVADO;-23,5714458;-46,697283;S/N;S/N;S/N;SIM;S/N;NAO;VERDE;MEDIA
09445384000120;MATRIZ;2008-03-13;S DE SENA FERREIRA ME;2135;EMPRESARIO INDIVIDUAL;RUA ANGELO VARELA;9;59507000;CENTRO;ALTO DO RODRIGUES;RN;ATIVA;PRIVADO;-5,2887251;-36,7603816;S/N;4;0;SIM;3;NAO;VERDE;ALTA
87301180000120;MATRIZ;1973-01-09;ELIAR HOFSTATTER ME;2135;EMPRESARIO INDIVIDUAL;AVENIDA SENADOR ALBERTO PASQUALINI;193;95900034;CENTRO;LAJEADO;RS;ATIVA;PRIVADO;-29,4589733;-51,9673123;S/N;S/N;S/N;NAO;S/N;NAO;LARANJA;MEDIA
08739568000130;MATRIZ;2007-02-23;PA ADMINISTRADORA DE BENS E PARTICIPACOES LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA JOSE ALVES DOS SANTOS FILHO;SN;48370000;CENTRO;ESPLANADA;BA;ATIVA;PRIVADO;-11,7946561;-37,9435616;S/N;S/N;S/N;NAO;S/N;NAO;VERDE;ALTA
04500550000120;MATRIZ;2001-06-07;O F DE OLIVEIRA ME;2135;EMPRESARIO INDIVIDUAL;RUA OLAVO BILAC;1;77890000;CENTRO;ANANAS;TO;ATIVA;PRIVADO;-6,3685511;-48,0697669;S/N;S/N;S/N;NAO;S/N;NAO;LARANJA;MEDIA
12810402000130;MATRIZ;2010-10-02;SILVANI PRATES DOS SANTOS ME;2135;EMPRESARIO INDIVIDUAL;RUA EGEO BENTO FRATICCELI;311;06550000;JARDIM BOM JESUS;PIRAPORA DO BOM JESUS;SP;ATIVA;PRIVADO;-23,3969772;-46,9995522;S/N;S/N;S/N;SIM;S/N;NAO;AMARELO;BAIXA
05410317000110;MATRIZ;2002-11-02;HYDROLAB ENGENHARIA E CONSULTORIA ME SS;2232;SOCIEDADE SIMPLES PURA;RUA ROXO MOREIRA;76;13083590;CIDADE UNIVERSITARIA;CAMPINAS;SP;BAIXADA;PRIVADO;-22,812618;-47,0761302;S/N;S/N;S/N;NAO;S/N;NAO;S/N;INATIVA
12223579000130;MATRIZ;2010-06-11;WORK TAX SOLUCAO EMPRESARIAL LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA PINHEIROS;72;09692020;PAULICEIA;SAO BERNARDO DO CAMPO;SP;ATIVA;PRIVADO;-23,6698174;-46,5853564;S/N;S/N;S/N;SIM;S/N;NAO;AZUL;MEDIA
96617865000170;MATRIZ;1993-05-03;TOSHIO TATSUMI MARACAI ME;2135;EMPRESARIO INDIVIDUAL;AVENIDA SAO PAULO;503;19840000;CENTRO;MARACAI;SP;ATIVA;PRIVADO;-22,6105462;-50,6671498;S/N;S/N;S/N;NAO;S/N;NAO;AZUL;MEDIA
08047579000150;MATRIZ;2006-06-05;ILSA ALICE MULLER OLIVEIRA;4120;PRODUTOR RURAL PESSOA FISICA;FAZENDA SAO JOSE;SN;19804355;AGUA DO MELCHIOR;ASSIS;SP;ATIVA;PRIVADO;-22,6606373;-50,404369;S/N;S/N;S/N;NAO;1;NAO;AMARELO;MEDIA
09873296000120;MATRIZ;2008-07-08;ELEICAO 2008 JOAO BATISTA SILVA DE SOUZA VEREADOR;4090;CANDIDATO A CARGO POLITICO ELETIVO;RUA A;663;31360390;CONJUNTO CONFISCO;BELO HORIZONTE;MG;BAIXADA;PRIVADO;-19,997465;-44,0423971;S/N;S/N;S/N;NAO;S/N;NAO;S/N;INATIVA
08641806000170;MATRIZ;2007-02-07;AFM MODALIDADE LOTERICA LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA DOS ILHEUS;10;88010560;CENTRO;FLORIANOPOLIS;SC;BAIXADA;PRIVADO;-27,5969056;-48,5486711;S/N;S/N;S/N;NAO;S/N;NAO;S/N;INATIVA
09214498000160;MATRIZ;2007-11-06;O BARISTA CAFE LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA TREZE DE MAIO;200;07071050;VILA GALVAO;GUARULHOS;SP;BAIXADA;PRIVADO;-23,4556501;-46,5659188;S/N;S/N;S/N;NAO;S/N;NAO;S/N;INATIVA
12690066000130;MATRIZ;2010-10-06;CLAUDENOR LEMOS DOS SANTOS & CIA LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;SITIO MURICI;16;55000000;MURICI;CARUARU;PE;ATIVA;PRIVADO;-8,2849639;-35,9701874;S/N;S/N;S/N;NAO;S/N;NAO;AZUL;ALTA
07605227000100;MATRIZ;2005-09-19;MARVELISE MULER DE OLIVEIRA & CIA LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA GETULIO VARGAS;1268;85570000;CENTRO;SAO JOAO;PR;BAIXADA;PRIVADO;-25,8335554;-52,7304154;S/N;S/N;S/N;NAO;S/N;NAO;S/N;INATIVA
94409778000100;MATRIZ;1992-01-02;O WEHRMANN E CIA LTDA M E ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA JAGUARI;723;90820180;SANTA TEREZA;PORTO ALEGRE;RS;ATIVA;PRIVADO;-30,0875704;-51,2356869;S/N;S/N;S/N;NAO;S/N;NAO;LARANJA;BAIXA
21081120000130;MATRIZ;1981-02-05;CARTORIO DO REGISTRO CIVIL DE NICOLANDIA;3034;SERVICO NOTARIAL E REGISTRAL CARTORIO;RUA JOSE NICOLINI;8;35235000;NICOLANDIA;RESPLENDOR;MG;ATIVA;PRIVADO;-19,3244066;-41,2513767;S/N;S/N;S/N;NAO;S/N;NAO;LARANJA;MEDIA
77687663000150;MATRIZ;1983-10-03;ARTECLASSE ESTOFADOS EIRELI;2305;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA;RODOVIA BR 376;3475;86975000;PARQUE INDUSTRIAL;MANDAGUARI;PR;ATIVA;PRIVADO;-23,5259717;-51,6790774;S/N;2;1;SIM;S/N;NAO;VERDE;ALTA
13103110000120;MATRIZ;2011-01-13;MARINETE SILVA PEREIRA MEI;2135;EMPRESARIO INDIVIDUAL;AVENIDA ADOLFO PINHEIRO;3520;04734003;SANTO AMARO;SAO PAULO;SP;ATIVA;PRIVADO;-23,6317575;-46,6913253;S/N;S/N;S/N;SIM;S/N;SIM;AMARELO;BAIXA
84630474000450;FILIAL;1994-03-29;L M L EXPORTACAO DE CAFE LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA F A;150;76970000;SAO FILIPE;PIMENTA BUENO;RO;ATIVA;PRIVADO;-11,6821425;-61,1765191;S/N;S/N;S/N;NAO;S/N;NAO;VERDE;MEDIA
37224847000160;MATRIZ;1992-09-11;AREEIRO COSME & DAMIAO LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RODOVIA BR 163;SN;79440000;ZONA RURAL;JARAGUARI;MS;ATIVA;PRIVADO;-20,7683924;-54,5282522;S/N;S/N;S/N;NAO;S/N;NAO;LARANJA;BAIXA
11971190000100;MATRIZ;2010-05-20;SILVANIRA PEREIRA NAZARE MEI;2135;EMPRESARIO INDIVIDUAL;RUA SAPOPEMBA;14B;02859140;JARDIM VITORIA REGIA ZONA NORTE;SAO PAULO;SP;ATIVA;PRIVADO;-23,4383937;-46,7079522;S/N;S/N;S/N;SIM;S/N;SIM;AMARELO;MEDIA
07244034000170;MATRIZ;2005-02-03;CABALA ADMINISTRADORA E CORRETORA DE SEGUROS LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA DA PENHA;570;29055131;PRAIA DO CANTO;VITORIA;ES;ATIVA;PRIVADO;-20,3058891;-40,2963769;S/N;S/N;S/N;NAO;S/N;NAO;AZUL;ALTA
12121605000110;MATRIZ;2010-06-21;NADIR RODOLFO DE JESUS TOLEDO E OUTRA;4120;PRODUTOR RURAL PESSOA FISICA;SITIO SAO JOSE;SN;18230000;BOA VISTA;SAO MIGUEL ARCANJO;SP;ATIVA;PRIVADO;-23,8888022;-47,9811739;S/N;S/N;S/N;NAO;S/N;NAO;VERDE;MEDIA
12708033000170;MATRIZ;2010-10-02;JORGE SOARES DE OLIVEIRA MEI;2135;EMPRESARIO INDIVIDUAL;AVENIDA JOAO PEREIRA DE VARGAS;2884;93230210;NOVA SAPUCAIA;SAPUCAIA DO SUL;RS;ATIVA;PRIVADO;-29,8450304;-51,1373736;S/N;S/N;S/N;SIM;S/N;SIM;AMARELO;BAIXA
62955505281310;FILIAL;1988-11-02;IGREJA DO EVANGELHO QUADRANGULAR;3220;ORGANIZACAO RELIGIOSA;RUA RADIALISTA M SOBRINHO;95;30001970;CEU AZUL II;BELO HORIZONTE;MG;ATIVA;PRIVADO;-19,8122294;-44,0050075;S/N;S/N;S/N;NAO;S/N;NAO;VERMELHO;MEDIA
21614193000140;MATRIZ;1985-12-01;GARFIG REPRESENTACOES LTDA ME;2240;SOCIEDADE SIMPLES LIMITADA;RUA CARDEAL STEPINAC;592;31170220;CIDADE NOVA;BELO HORIZONTE;MG;BAIXADA;PRIVADO;-19,8868188;-43,924144;S/N;S/N;S/N;NAO;S/N;NAO;S/N;INATIVA
05008116000190;MATRIZ;2001-11-02;BIG ESFIHA EXPRESS FREGUESIA DO O LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA ITABERABA;3623;02739000;VILA MARACANA;SAO PAULO;SP;ATIVA;PRIVADO;-23,4778099;-46,6820484;S/N;S/N;S/N;NAO;S/N;NAO;LARANJA;BAIXA
07095151000110;MATRIZ;1983-04-13;SOCIEDADE EDUCACIONAL JEAN PIAGET LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA CORONEL MUNDICO SA;222;64500000;CENTRO;OEIRAS;PI;ATIVA;PRIVADO;-7,0136487;-42,1322099;S/N;S/N;S/N;NAO;S/N;NAO;LARANJA;MEDIA
15493137000100;MATRIZ;2012-05-08;RICARDO PIRES LEAL MEI;2135;EMPRESARIO INDIVIDUAL;RUA DONA ZULMIRA;498;90830240;CAVALHADA;PORTO ALEGRE;RS;ATIVA;PRIVADO;-30,0956211;-51,2272425;S/N;S/N;S/N;SIM;S/N;SIM;VERDE;MEDIA
09253073000160;MATRIZ;2007-11-01;RENATA FERREIRA DA SILVA VESTUARIO ME;2135;EMPRESARIO INDIVIDUAL;RUA ALVARES AZEVEDO;190;04671040;VILA SOFIA;SAO PAULO;SP;ATIVA;PRIVADO;-23,657769;-46,693659;S/N;S/N;S/N;SIM;S/N;NAO;AZUL;MEDIA
05266699000150;MATRIZ;2002-08-26;VALDIVIA ROSA DOS SANTOS LIMA ME;2135;EMPRESARIO INDIVIDUAL;RUA LUIZ VIANA;5;45265000;CENTRO;CAETANOS;BA;ATIVA;PRIVADO;-14,3354678;-40,9046493;S/N;S/N;S/N;SIM;S/N;NAO;AZUL;ALTA
05312857000160;MATRIZ;2002-09-11;BRONZE DESIGN COMERCIO DE PECAS PARA DECORACAO LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA GUARUJA;1;14090283;JARDIM PAULISTANO;RIBEIRAO PRETO;SP;BAIXADA;PRIVADO;-21,1839696;-47,7938219;S/N;S/N;S/N;NAO;S/N;NAO;S/N;INATIVA
05421886000160;MATRIZ;2002-12-03;BISSOTO & DARIOLI MINIMERCADO LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA BERNARDINO DE CAMPOS;12;13900400;CENTRO;AMPARO;SP;BAIXADA;PRIVADO;-22,7055965;-46,7693964;S/N;S/N;S/N;NAO;S/N;NAO;S/N;INATIVA
42064295000100;MATRIZ;1992-11-01;AUTO LOCADORA TRANS REI LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA JOAO DURVAL CARNEIRO;SN;48970000;RODOVIARIO;SENHOR DO BONFIM;BA;BAIXADA;PRIVADO;-10,4546513;-40,1819714;S/N;S/N;S/N;NAO;S/N;NAO;S/N;INATIVA
01893515000120;MATRIZ;1997-05-27;VITOR A RODRIGUES GAS;2135;EMPRESARIO INDIVIDUAL;RUA SAOA PAULO;220;86935000;CENTRO;LUNARDELLI;PR;BAIXADA;PRIVADO;-24,0778289;-51,7418756;S/N;S/N;S/N;NAO;S/N;NAO;S/N;INATIVA
